survey_row,type,base_type,name,label_en,label_sw,hint_en,required,required_message,relevance,constraint,constraint_message,default,appearance,choice_filter,choice_list,powerapps_control,microsoft_lists_column,microsoft_lists_type,implementation_status,notes
9,integer,integer,Customer_ID,Customer ID,Customer ID,,,,,,,,,,,,,,input,
10,text,text,Customer_Name,Customer Name,Customer Name,,,,,,,,,,,,,,input,
11,select_one Gender,select_one,Gender,Gender,Jinsia,,yes,,,,,,,,Gender,,,,input,
12,integer,integer,age,Farmer Age,Umri wa mkulima,,,,,,,,,,,,,,input,
15,select_one Education_Level,select_one,Education_Level,Education Level,Kiwango cha elimu,,yes,,,,,,,,Education_Level,,,,input,
16,select_one Zone,select_one,zone,Zone,Kanda,,yes,,,,,,,,Zone,,,,input,
17,select_one branch,select_one,CRDB_Branch,CRDB Branch,Tawi la CRDB,,yes,,,,,,,zone=${zone},branch,,,,input,
18,select_one region,select_one,region,Region,Mkoa,,yes,,,,,,,,region,,,,input,
19,select_one district,select_one,district,District,Wilaya,,yes,,,,,,,region=${region},district,,,,input,
20,select_one ward,select_one,ward,Ward,Kata,,yes,,,,,,,region=${region} and district=${district},ward,,,,input,
21,select_one village,select_one,village,Village,Kijiji,,yes,,,,,,,region=${region} and district=${district} and ward=${ward},village,,,,input,
22,geopoint,geopoint,Georeference,"***Enumerator: Measure this outside of the house, in front of the main door to the house. You can adjust the location by manually moving the pin on the map.","Mhojaji: Chukua codinate nje ya nyumba, mbele ya mlango mkuu wa nyumba. Unaweza kubadilisha mahali kwa kusogeza kidole kwenye ramani.
Maelezo ya GPS yanaweza kukusanywa tu ukiwa nje ya nyumba.",,,,,,,,placement-map,,,,,,input,
23,text,text,Farmer_Phone,Farmer Phone,Namba ya Simu ya Mkulima,,yes,,,"(regex(.,'0\d{9}') and string-length(.)=10) or .=-444 or .=-888",Insert a 10-digit number including the zero in the beginning!,,numbers_phone,,,,,,input,
24,integer,integer,loan_amount_tzs,Loan Amount (TZS),Kiasi cha Mkopo (TZS),,yes,,,. >= 200000,"Kiasi cha mkopo lazima kiwe TZS 200,000 au zaidi.",,,,,,,,input,
