survey_row,name,type,required,required_message,relevance,constraint,constraint_message,default,choice_filter
11,Gender,select_one Gender,yes,,,,,,
15,Education_Level,select_one Education_Level,yes,,,,,,
16,zone,select_one Zone,yes,,,,,,
17,CRDB_Branch,select_one branch,yes,,,,,,zone=${zone}
18,region,select_one region,yes,,,,,,
19,district,select_one district,yes,,,,,,region=${region}
20,ward,select_one ward,yes,,,,,,region=${region} and district=${district}
21,village,select_one village,yes,,,,,,region=${region} and district=${district} and ward=${ward}
23,Farmer_Phone,text,yes,,,"(regex(.,'0\d{9}') and string-length(.)=10) or .=-444 or .=-888",Insert a 10-digit number including the zero in the beginning!,,
24,loan_amount_tzs,integer,yes,,,. >= 200000,"Kiasi cha mkopo lazima kiwe TZS 200,000 au zaidi.",,
27,own_farmland,select_one Yes_No,yes,,,,,,
28,land_size_acres,integer,yes,,,,,,
31,crop_name,select_multiple crop_name,yes,,,,,,
32,crop_category,select_multiple crop_category,yes,,,,,,
33,crop_adaptation,select_multiple crop_adaptation,yes,,,,,,"selected(${crop_name}, crop_name)"
34,technology,select_multiple technology,yes,,,,,,
35,climate_risk,select_multiple climate_risk,yes,,,,,,"selected(${technology}, technology)"
36,adaptation,select_multiple adaptation,yes,,,,,,"selected(${technology}, technology)"
37,additional,select_multiple additional,yes,,,,,,"selected(${technology}, technology)"
38,SDGs,select_multiple SDGs,yes,,,,,,"selected(${technology}, technology)"
42,Uses_Irrigation,select_one Yes_No,yes,,,,,,
43,Irrigation_Type,select_multiple Irrigation_Type,yes,,${Uses_Irrigation}='1',,,,
44,other_Irrigation_Type,text,yes,,"selected(${Irrigation_Type}, '96')",,,,
45,Water_Source,select_multiple Water_Source,yes,,,,,,
46,other_Water_Source,text,yes,,"selected(${Water_Source}, '96')",,,,
47,Energy_Source,select_multiple Energy_Source,yes,,,,,,
48,other_Energy_Source,text,yes,,"selected(${Energy_Source}, '96')",,,,
49,Adopted_Energy,select_multiple Adopted_Energy,yes,,,,,,
50,other_Adopted_Energy,text,yes,,"selected(${Adopted_Energy}, '96')",,,,
51,baseline_yield,integer,yes,,,. >= 0,,,
52,yield_after,integer,yes,,,. >= ${baseline_yield},,,
57,farmer_group_member,select_one Yes_No,yes,,,,,,
58,farmer_group_type,select_one group_type,yes,,${farmer_group_member}='1',,,,
59,male_members,integer,yes,,${farmer_group_member}='1',. >= 0,,,
60,female_members,integer,yes,,${farmer_group_member}='1',. >= 0,,,
62,youth_members,integer,yes,,${farmer_group_member}='1',. >= 1 and . <= ${total_members},,,
69,hh_male,integer,yes,,,. >= 0,,,
70,hh_female,integer,yes,,,. >= 0,,,
73,hh_head_gender,select_one Gender,yes,,,,,,
74,women_decision,select_one Yes_No,yes,,,,,,
78,ara_training,select_one Yes_No,yes,,,,,,
79,training_type,select_multiple training_type,yes,,${ara_training}='1',,,,
80,target_group,select_multiple target_group,yes,,${ara_training}='1',count-selected(.) >= 1,,,
81,male_trained,integer,yes,,${ara_training}='1',. >= 0,,,
82,female_trained,integer,yes,,${ara_training}='1',. >= 0,,,
85,gender_content,select_one Yes_No,yes,,${ara_training}='1',,,,
86,gender_focus,select_one gender_focus,yes,,${ara_training}='1',,,,
90,vc_stages,select_multiple vc_stages,yes,,,,,,
92,farm_preparation_dm,integer,yes,,,,,0,
93,farm_preparation_df,integer,yes,,,,,0,
96,farm_preparation_dy,integer,yes,,,,,0,
97,farm_preparation_im,integer,yes,,,,,0,
98,farm_preparation_if,integer,yes,,,,,0,
101,farm_preparation_iy,integer,yes,,,,,0,
104,farm_operations_dm,integer,yes,,,,,0,
105,farm_operations_df,integer,yes,,,,,0,
108,farm_operations_dy,integer,yes,,,,,0,
109,farm_operations_im,integer,yes,,,,,0,
110,farm_operations_if,integer,yes,,,,,0,
113,farm_operations_iy,integer,yes,,,,,0,
116,input_supply_dm,integer,yes,,,,,0,
117,input_supply_df,integer,yes,,,,,0,
120,input_supply_dy,integer,yes,,,,,0,
121,input_supply_im,integer,yes,,,,,0,
122,input_supply_if,integer,yes,,,,,0,
125,input_supply_iy,integer,yes,,,,,0,
128,weeding_dm,integer,yes,,,,,0,
129,weeding_df,integer,yes,,,,,0,
132,weeding_dy,integer,yes,,,,,0,
133,weeding_im,integer,yes,,,,,0,
134,weeding_if,integer,yes,,,,,0,
137,weeding_iy,integer,yes,,,,,0,
140,pest_dm,integer,yes,,,,,0,
141,pest_df,integer,yes,,,,,0,
144,pest_dy,integer,yes,,,,,0,
145,pest_im,integer,yes,,,,,0,
146,pest_if,integer,yes,,,,,0,
149,pest_iy,integer,yes,,,,,0,
152,harvesting_dm,integer,yes,,,,,0,
153,harvesting_df,integer,yes,,,,,0,
156,harvesting_dy,integer,yes,,,,,0,
157,harvesting_im,integer,yes,,,,,0,
158,harvesting_if,integer,yes,,,,,0,
161,harvesting_iy,integer,yes,,,,,0,
164,postharvest_dm,integer,yes,,,,,0,
165,postharvest_df,integer,yes,,,,,0,
168,postharvest_dy,integer,yes,,,,,0,
169,postharvest_im,integer,yes,,,,,0,
170,postharvest_if,integer,yes,,,,,0,
173,postharvest_iy,integer,yes,,,,,0,
176,storage_dm,integer,yes,,,,,0,
177,storage_df,integer,yes,,,,,0,
180,storage_dy,integer,yes,,,,,0,
181,storage_im,integer,yes,,,,,0,
182,storage_if,integer,yes,,,,,0,
185,storage_iy,integer,yes,,,,,0,
188,transport_dm,integer,yes,,,,,0,
189,transport_df,integer,yes,,,,,0,
192,transport_dy,integer,yes,,,,,0,
193,transport_im,integer,yes,,,,,0,
194,transport_if,integer,yes,,,,,0,
197,transport_iy,integer,yes,,,,,0,
200,processing_dm,integer,yes,,,,,0,
201,processing_df,integer,yes,,,,,0,
204,processing_dy,integer,yes,,,,,0,
205,processing_im,integer,yes,,,,,0,
206,processing_if,integer,yes,,,,,0,
209,processing_iy,integer,yes,,,,,0,
212,aquaculture_dm,integer,yes,,,,,0,
213,aquaculture_df,integer,yes,,,,,0,
216,aquaculture_dy,integer,yes,,,,,0,
217,aquaculture_im,integer,yes,,,,,0,
218,aquaculture_if,integer,yes,,,,,0,
221,aquaculture_iy,integer,yes,,,,,0,
224,landing_dm,integer,yes,,,,,0,
225,landing_df,integer,yes,,,,,0,
228,landing_dy,integer,yes,,,,,0,
229,landing_im,integer,yes,,,,,0,
230,landing_if,integer,yes,,,,,0,
233,landing_iy,integer,yes,,,,,0,
236,aquaponics_dm,integer,yes,,,,,0,
237,aquaponics_df,integer,yes,,,,,0,
240,aquaponics_dy,integer,yes,,,,,0,
241,aquaponics_im,integer,yes,,,,,0,
242,aquaponics_if,integer,yes,,,,,0,
245,aquaponics_iy,integer,yes,,,,,0,
248,marketing_dm,integer,yes,,,,,0,
249,marketing_df,integer,yes,,,,,0,
252,marketing_dy,integer,yes,,,,,0,
253,marketing_im,integer,yes,,,,,0,
254,marketing_if,integer,yes,,,,,0,
257,marketing_iy,integer,yes,,,,,0,
260,consumption_dm,integer,yes,,,,,0,
261,consumption_df,integer,yes,,,,,0,
264,consumption_dy,integer,yes,,,,,0,
265,consumption_im,integer,yes,,,,,0,
266,consumption_if,integer,yes,,,,,0,
269,consumption_iy,integer,yes,,,,,0,
272,training_dm,integer,yes,,,,,0,
273,training_df,integer,yes,,,,,0,
276,training_dy,integer,yes,,,,,0,
277,training_im,integer,yes,,,,,0,
278,training_if,integer,yes,,,,,0,
281,training_iy,integer,yes,,,,,0,
284,aracsa_dm,integer,yes,,,,,0,
285,aracsa_df,integer,yes,,,,,0,
288,aracsa_dy,integer,yes,,,,,0,
289,aracsa_im,integer,yes,,,,,0,
290,aracsa_if,integer,yes,,,,,0,
293,aracsa_iy,integer,yes,,,,,0,
296,other_dm,integer,yes,,,,,0,
297,other_df,integer,yes,,,,,0,
300,other_dy,integer,yes,,,,,0,
301,other_im,integer,yes,,,,,0,
302,other_if,integer,yes,,,,,0,
305,other_iy,integer,yes,,,,,0,
336,exclusion_screen_passed,select_one Yes_No,yes,,,,,,
337,es_risk_category,select_one risk_category,yes,,,,,,
338,disclosure_published,select_one Yes_No,yes,,${es_risk_category}=‘B’,,,,
339,disclosure_date,date,yes,,${disclosure_published}=‘1’,,,,
340,grm_complaint,select_one Yes_No,yes,,,,,,
341,ess_grievance,select_one Yes_No,yes,,,,,,
342,grievance_name,text,yes,,${ess_grievance}=‘1’,,,,
343,grievance_stage,select_one grievance_stage,yes,,,,,,
344,grievance_name_other,text,yes,,${grievance_stage}=‘96’,,,,
345,Climate_hazards,select_multiple Climate_hazards,yes,,,,,,
346,other_Climate_hazards,text,yes,,"selected(${Climate_hazards}, '96')",,,,
347,frequently,select_one frequently,yes,,,,,,
348,collateral,select_multiple collateral,yes,,,,,,
349,other_collateral,text,yes,,"selected(${collateral}, '96')",,,,
350,exposure_level,select_one exposure_level,yes,,,,,,
354,accessed_insurance,select_one Yes_No,yes,,,,,,
355,insurance_year,select_one insurance_year,yes,,${accessed_insurance}='1',,,,
356,insurance_type,select_one insurance_type,yes,,${accessed_insurance}='1',,,,
359,guarantee_coverage,select_one guarantee_coverage,yes,,${qualified_guarantee}='1',,,,
363,baseline_tech,select_one baseline_tech_list,yes,,,,,,
364,other_baseline_tech,text,yes,,${baseline_tech}='96',,,,
365,new_tech,select_one new_tech_list,yes,,,,,,
366,other_new_tech,text,yes,,${new_tech}='96',,,,
367,energy_base,select_one energy_base_list,yes,,,,,,
368,other_energy_base,text,yes,,${energy_base}='96',,,,
369,energy_after,select_one energy_after_list,yes,,,,,,
370,other_energy_after,text,yes,,${energy_after}='96',,,,
371,base_hours,decimal,yes,,${energy_base}='1',,,,
372,diesel_rate,decimal,yes,,${energy_base}='1',,,,
378,diesel_proj,decimal,yes,,,,,0,
382,lifespan,integer,yes,,,,,10,
390,crop,select_one crop_name,yes,,,,,,
391,area,decimal,yes,,,,,,
392,water_tech,select_one water_tech_list,yes,,,,,,
393,other_water_tech,text,yes,,${water_tech}='96',,,,
394,irr_base,select_one irr_base_list,yes,,,,,,
395,other_irr_base,text,yes,,${irr_base}='96',,,,
396,water_base,decimal,yes,,,,,,
397,water_after,decimal,yes,,,,,,
404,yield_base,decimal,yes,,,.>=0,Enter a valid yield,,
405,price_base,decimal,yes,,,.>=0,Enter a valid price,,
408,yield_after1,decimal,yes,,,.>=0,Enter a valid yield,,
409,price_after1,decimal,yes,,,.>=0,Enter a valid price,,
417,quantify_cost,select_one Yes_No,yes,,,,,,
420,reporting_period,select_one reporting_period,yes,,${quantify_cost}='1',,,,
421,farm_size,decimal,yes,,${quantify_cost}='1',,,,
422,production_before,decimal,yes,,${quantify_cost}='1',,,,
423,production_after,decimal,yes,,${quantify_cost}='1',,,,
428,vc_stages1,select_multiple vc_stages,yes,,${quantify_cost}='1',,,,
430,vc1_cost_item,select_one cost_item,yes,,,,,,
431,vc1_unit,select_one unit_measure,yes,,,,,,
432,vc1_quantity,decimal,yes,,,,,,
433,vc1_unit_cost,decimal,yes,,,,,,
437,vc2_cost_item,select_one cost_item,yes,,,,,,
438,vc2_unit,select_one unit_measure,yes,,,,,,
439,vc2_quantity,decimal,yes,,,,,,
440,vc2_unit_cost,decimal,yes,,,,,,
444,vc3_cost_item,select_one cost_item,yes,,,,,,
445,vc3_unit,select_one unit_measure,yes,,,,,,
446,vc3_quantity,decimal,yes,,,,,,
447,vc3_unit_cost,decimal,yes,,,,,,
451,vc4_cost_item,select_one cost_item,yes,,,,,,
452,vc4_unit,select_one unit_measure,yes,,,,,,
453,vc4_quantity,decimal,yes,,,,,,
454,vc4_unit_cost,decimal,yes,,,,,,
458,vc5_cost_item,select_one cost_item,yes,,,,,,
459,vc5_unit,select_one unit_measure,yes,,,,,,
460,vc5_quantity,decimal,yes,,,,,,
461,vc5_unit_cost,decimal,yes,,,,,,
465,vc6_cost_item,select_one cost_item,yes,,,,,,
466,vc6_unit,select_one unit_measure,yes,,,,,,
467,vc6_quantity,decimal,yes,,,,,,
468,vc6_unit_cost,decimal,yes,,,,,,
472,vc7_cost_item,select_one cost_item,yes,,,,,,
473,vc7_unit,select_one unit_measure,yes,,,,,,
474,vc7_quantity,decimal,yes,,,,,,
475,vc7_unit_cost,decimal,yes,,,,,,
479,vc8_cost_item,select_one cost_item,yes,,,,,,
480,vc8_unit,select_one unit_measure,yes,,,,,,
481,vc8_quantity,decimal,yes,,,,,,
482,vc8_unit_cost,decimal,yes,,,,,,
486,vc9_cost_item,select_one cost_item,yes,,,,,,
