project_code,instrument_code,version_code,group_code,source_screen,field_code,source_survey_row,display_order,label_en,label_sw,hint_en,data_type,xlsform_type,base_type,required_mode,required_in_app,required_in_dataverse,choice_scheme_code,selection_mode,relevance_expression,constraint_expression,constraint_message,choice_filter,default_value,appearance,answer_storage_table,answer_storage_strategy,source_target_list,source_target_columns,source_file
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,Customer_ID,9,1,Customer ID,Customer ID,,WholeNumber,integer,integer,Optional,no,no,,,,,,,,,mp_AnswerValue,scalar input field,TACATDP_Profile,Customer_ID,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,Customer_Name,10,2,Customer Name,Customer Name,,Text,text,text,Optional,no,no,,,,,,,,,mp_AnswerValue,scalar input field,TACATDP_Profile,Customer_Name,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,Gender,11,3,Gender,Jinsia,,LookupVocabularyTerm,select_one Gender,select_one,RequiredIfVisible,yes,no,gender,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,GenderValue;GenderLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,age,12,4,Farmer Age,Umri wa mkulima,,WholeNumber,integer,integer,Optional,no,no,,,,,,,,,mp_AnswerValue,scalar input field,TACATDP_Profile,age,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,Education_Level,15,5,Education Level,Kiwango cha elimu,,LookupVocabularyTerm,select_one Education_Level,select_one,RequiredIfVisible,yes,no,education_level,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,Education_LevelValue;Education_LevelLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,zone,16,6,Zone,Kanda,,LookupVocabularyTerm,select_one Zone,select_one,RequiredIfVisible,yes,no,zone,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,zoneValue;zoneLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,CRDB_Branch,17,7,CRDB Branch,Tawi la CRDB,,LookupVocabularyTerm,select_one branch,select_one,RequiredIfVisible,yes,no,branch,Single,,,,zone=${zone},,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,CRDB_BranchValue;CRDB_BranchLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,region,18,8,Region,Mkoa,,LookupVocabularyTerm,select_one region,select_one,RequiredIfVisible,yes,no,region,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,regionValue;regionLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,district,19,9,District,Wilaya,,LookupVocabularyTerm,select_one district,select_one,RequiredIfVisible,yes,no,district,Single,,,,region=${region},,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,districtValue;districtLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_01_demographics,Screen_01_demographics,ward,20,10,Ward,Kata,,LookupVocabularyTerm,select_one ward,select_one,RequiredIfVisible,yes,no,ward,Single,,,,region=${region} and district=${district},,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_Profile,wardValue;wardLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
