ChoiceValue,LabelEn,LabelSw,ZoneValue,SortOrder
1,1.1 Dodoma,1.1 Dodoma,1,1
2,1.2 UDOM,1.2 UDOM,1,2
3,1.3 Chamwino Dodoma,1.3 Chamwino Dodoma,1,3
4,1.4 LAPF Dodoma,1.4 LAPF Dodoma,1,4
5,1.5 Chamwino IKULU,1.5 Chamwino IKULU,1,5
6,1.6 Kambarage Premier Center,1.6 Kambarage Premier Center,1,6
7,1.7 Morogoro,1.7 Morogoro,1,7
8,1.8 Mandela,1.8 Mandela,1,8
9,1.9 Kilombero,1.9 Kilombero,1,9
10,1.10 Ifakara,1.10 Ifakara,1,10
11,1.11 Iringa,1.11 Iringa,1,11
12,1.12 Mafinga,1.12 Mafinga,1,12
13,1.13 Singida,1.13 Singida,1,13
14,1.14 Mzumbe,1.14 Mzumbe,1,14
15,1.15 Gairo,1.15 Gairo,1,15
16,1.16 Mazimbu,1.16 Mazimbu,1,16
17,1.17 Mkwawa,1.17 Mkwawa,1,17
18,1.18 Chief Kingalu,1.18 Chief Kingalu,1,18
19,1.19 Bunge,1.19 Bunge,1,19
20,1.20 Mpwapwa,1.20 Mpwapwa,1,20
21,1.21 SUA,1.21 SUA,1,21
22,1.22 Turiani,1.22 Turiani,1,22
23,1.23 Kilosa,1.23 Kilosa,1,23
24,1.24 Majengo,1.24 Majengo,1,24
25,1.25 Msamvu,1.25 Msamvu,1,25
26,1.26 Kondoa,1.26 Kondoa,1,26
27,1.27 Ulanga,1.27 Ulanga,1,27
28,1.28 Ilula,1.28 Ilula,1,28
29,1.29 Kibaigwa,1.29 Kibaigwa,1,29
30,1.30 Manyoni,1.30 Manyoni,1,30
31,1.31 Singida NHC,1.31 Singida NHC,1,31
32,1.32 Mikumi,1.32 Mikumi,1,32
33,2.1 Bagamoyo,2.1 Bagamoyo,2,33
34,2.2 Kibaha,2.2 Kibaha,2,34
35,2.3 Mkuranga,2.3 Mkuranga,2,35
36,2.4 Mlandizi,2.4 Mlandizi,2,36
37,2.5 Bunju,2.5 Bunju,2,37
38,2.6 Buza,2.6 Buza,2,38
39,2.7 Goba,2.7 Goba,2,39
40,2.8 Msasani,2.8 Msasani,2,40
41,2.9 Mwananyamala,2.9 Mwananyamala,2,41
42,2.10 Mbezi Beach,2.10 Mbezi Beach,2,42
43,2.11 Mbagala,2.11 Mbagala,2,43
44,2.12 Mikocheni,2.12 Mikocheni,2,44
45,2.13 Tegeta,2.13 Tegeta,2,45
46,2.14 Kijitonyama,2.14 Kijitonyama,2,46
47,2.15 Oysterbay,2.15 Oysterbay,2,47
48,2.16 Temeke,2.16 Temeke,2,48
49,2.17 Kisarawe,2.17 Kisarawe,2,49
