ChoiceValue,LabelEn,LabelSw,RegionValue,DistrictValue,WardValue,SortOrder
1,Kitiangare,Kitiangare,1,1,1,1
2,Tindigani,Tindigani,1,1,1,2
3,Kijenge Kaskazini,Kijenge Kaskazini,1,1,1,3
4,Kijenge Kusini,Kijenge Kusini,1,1,1,4
5,Sorenyi,Sorenyi,1,1,2,5
6,Kambi ya Chupa,Kambi ya Chupa,1,1,2,6
7,Kwa Mrefu,Kwa Mrefu,1,1,2,7
8,Mferejini,Mferejini,1,1,2,8
9,Kiroshi,Kiroshi,1,1,2,9
10,Siara,Siara,1,1,2,10
11,Ofisini,Ofisini,1,1,2,11
12,Ilkirowa,Ilkirowa,1,1,2,12
13,Suye,Suye,1,1,3,13
14,Meiroti,Meiroti,1,1,3,14
15,Mwanama,Mwanama,1,1,3,15
16,Mbeshere,Mbeshere,1,1,3,16
17,Moivoi,Moivoi,1,1,3,17
18,R.C,R.C,1,1,3,18
19,Nanja,Nanja,1,1,4,19
20,Moshono kati,Moshono kati,1,1,4,20
21,Engosowash,Engosowash,1,1,4,21
22,T.Packers,T.Packers,1,1,4,22
23,Olkereyan kati,Olkereyan kati,1,1,4,23
24,Laizer,Laizer,1,1,4,24
25,Losirway,Losirway,1,1,4,25
26,Mtoni,Mtoni,1,1,4,26
27,Kalimaji,Kalimaji,1,1,4,27
28,Moivaro kati,Moivaro kati,1,1,5,28
29,Moshono kaskazini,Moshono kaskazini,1,1,5,29
30,Ngurumaus,Ngurumaus,1,1,5,30
31,Sekei,Sekei,1,1,5,31
32,Shangarao,Shangarao,1,1,5,32
33,Oldonyomasi,Oldonyomasi,1,1,5,33
34,Ilkirowa,Ilkirowa,1,1,6,34
35,Olepolos,Olepolos,1,1,6,35
36,Korongoni,Korongoni,1,1,6,36
37,Kikwakwaru ‘A’,Kikwakwaru ‘A’,1,1,6,37
38,Kikwakwaru‘B’,Kikwakwaru‘B’,1,1,6,38
39,Lemara Kati,Lemara Kati,1,1,6,39
40,Sunflag,Sunflag,1,1,6,40
41,Block C1,Block C1,1,1,7,41
42,Block C 2,Block C 2,1,1,7,42
43,Block D,Block D,1,1,7,43
44,Block F,Block F,1,1,7,44
45,Block H,Block H,1,1,7,45
46,Block J,Block J,1,1,7,46
47,Lolovono,Lolovono,1,1,8,47
48,Longdong,Longdong,1,1,8,48
49,Muriet,Muriet,1,1,8,49
50,Kanisani,Kanisani,1,1,8,50
51,Sainevuno,Sainevuno,1,1,8,51
52,Madukani,Madukani,1,1,8,52
53,Makao Mapya,Makao Mapya,1,1,9,53
54,Olevolos,Olevolos,1,1,9,54
55,Olmurkea,Olmurkea,1,1,9,55
56,Olnjavutiyan,Olnjavutiyan,1,1,9,56
57,Mlimani,Mlimani,1,1,9,57
58,Migungani,Migungani,1,1,9,58
59,Engosengiu,Engosengiu,1,1,9,59
60,Ilaitoyok,Ilaitoyok,1,1,10,60
61,Imitong'wa,Imitong'wa,1,1,10,61
62,Masikiria,Masikiria,1,1,10,62
63,Bondeni Kati,Bondeni Kati,1,1,10,63
64,Olepolosi,Olepolosi,1,1,10,64
65,Erangau,Erangau,1,1,10,65
66,Olkung'u,Olkung'u,1,1,10,66
67,Engavunet,Engavunet,1,1,10,67
68,Bondeni,Bondeni,1,1,11,68
69,Kati,Kati,1,1,11,69
70,Mashariki,Mashariki,1,1,11,70
71,Muriet,Muriet,1,1,11,71
72,Mlimani,Mlimani,1,1,11,72
73,Msasani,Msasani,1,1,11,73
74,FFU,FFU,1,1,11,74
75,Elwanyi,Elwanyi,1,1,11,75
76,Nadosoito kusini,Nadosoito kusini,1,1,11,76
77,Ngorienito,Ngorienito,1,1,11,77
78,Oldonyokumur,Oldonyokumur,1,1,11,78
79,Embararwai,Embararwai,1,1,11,79
80,Nadosoito Kati,Nadosoito Kati,1,1,11,80
81,Simanjiro,Simanjiro,1,1,12,81
82,Banda Mbili,Banda Mbili,1,1,12,82
83,Kirika ‘A’,Kirika ‘A’,1,1,12,83
84,Olamuriaki,Olamuriaki,1,1,12,84
85,Osunyai,Osunyai,1,1,13,85
86,Ngusero,Ngusero,1,1,13,86
87,Kirika ‘B’,Kirika ‘B’,1,1,13,87
88,JR,JR,1,1,13,88
89,Kware,Kware,1,1,14,89
90,Burka,Burka,1,1,14,90
91,Azimio,Azimio,1,1,14,91
92,Shamsi,Shamsi,1,1,14,92
93,Samanga,Samanga,1,1,14,93
94,Sacon,Sacon,1,1,14,94
95,Remtula,Remtula,1,1,14,95
96,Mama Musa,Mama Musa,1,1,14,96
97,Ngurumo,Ngurumo,1,1,14,97
98,Urundini,Urundini,1,1,14,98
99,Shuma,Shuma,1,1,14,99
100,Majengo “A”,Majengo “A”,1,1,14,100
101,Majengo “B”,Majengo “B”,1,1,14,101
102,Olmatejoo “A”,Olmatejoo “A”,1,1,15,102
103,Navarana,Navarana,1,1,15,103
104,Giriki,Giriki,1,1,15,104
105,Olmatejo “B”,Olmatejo “B”,1,1,15,105
106,Mairiva,Mairiva,1,1,15,106
107,Sakina,Sakina,1,1,15,107
108,Melamari,Melamari,1,1,15,108
109,Kimindorosi,Kimindorosi,1,1,16,109
110,Olasiti Centre,Olasiti Centre,1,1,16,110
111,Oloresho,Oloresho,1,1,16,111
112,Olkereyan,Olkereyan,1,1,16,112
113,Burka,Burka,1,1,16,113
114,Olmoti,Olmoti,1,1,17,114
115,Ngaramtoni ya chini,Ngaramtoni ya chini,1,1,17,115
116,Mlimani,Mlimani,1,1,17,116
117,Murongoine,Murongoine,1,1,17,117
118,NAFCO,NAFCO,1,1,17,118
119,Olteves,Olteves,1,1,17,119
120,Bondeni,Bondeni,1,1,18,120
121,Pangani,Pangani,1,1,18,121
122,Jamhuri,Jamhuri,1,1,19,122
123,Ali Nyanya,Ali Nyanya,1,1,19,123
124,Sanare,Sanare,1,1,19,124
125,Ndarvoi,Ndarvoi,1,1,19,125
126,Darajani,Darajani,1,1,19,126
127,Kati,Kati,1,1,19,127
128,Themi Mashariki,Themi Mashariki,1,1,20,128
129,Kambarage,Kambarage,1,1,20,129
130,Old Police,Old Police,1,1,20,130
131,Corridor Area,Corridor Area,1,1,20,131
132,AICC Flats,AICC Flats,1,1,20,132
133,Kambi ya fisi,Kambi ya fisi,1,1,21,133
134,Darajani,Darajani,1,1,21,134
135,NHC,NHC,1,1,21,135
136,TCA,TCA,1,1,21,136
137,Mita 200,Mita 200,1,1,21,137
138,Mtaa wa Levolosi,Mtaa wa Levolosi,1,1,22,138
139,Majengo,Majengo,1,1,22,139
140,Kaloleni Magharibi,Kaloleni Magharibi,1,1,23,140
141,Mita 200,Mita 200,1,1,23,141
142,Kaloleni Mashariki,Kaloleni Mashariki,1,1,23,142
143,Esso,Esso,1,1,24,143
144,Viwandani,Viwandani,1,1,24,144
145,Makaburi ya Baniani,Makaburi ya Baniani,1,1,24,145
146,Tindiga,Tindiga,1,1,24,146
147,Darajani,Darajani,1,1,24,147
148,Oysterbay,Oysterbay,1,1,24,148
149,Sanawari,Sanawari,1,1,25,149
150,Naurei,Naurei,1,1,25,150
151,Mtaa wa AICC,Mtaa wa AICC,1,1,25,151
152,Mtaa wa Mahakamani,Mtaa wa Mahakamani,1,1,25,152
153,Naura,Naura,1,1,25,153
154,Goliondoi,Goliondoi,1,1,25,154
155,Sugumen,Sugumen,1,2,26,155
156,Mukulat,Mukulat,1,2,26,156
157,Imbibia Kati,Imbibia Kati,1,2,26,157
158,Lembolei,Lembolei,1,2,26,158
159,Lembashishi,Lembashishi,1,2,26,159
160,Olomishira,Olomishira,1,2,26,160
161,Losirwa,Losirwa,1,2,26,161
162,Bombani,Bombani,1,2,26,162
163,Lewama,Lewama,1,2,26,163
164,Ormukuna,Ormukuna,1,2,26,164
165,Mbukara,Mbukara,1,2,26,165
166,Olorikoti,Olorikoti,1,2,26,166
167,Shuleni,Shuleni,1,2,26,167
168,Engawalet,Engawalet,1,2,26,168
169,Kandasikiriet,Kandasikiriet,1,2,27,169
