ChoiceValue,LabelEn,LabelSw,RegionValue,DistrictValue,SortOrder
1,Kimandolu,Kimandolu,1,1,1
2,Baraa,Baraa,1,1,2
3,Oloirien,Oloirien,1,1,3
4,Moshono,Moshono,1,1,4
5,Moivaro,Moivaro,1,1,5
6,Lemara,Lemara,1,1,6
7,Engutoto,Engutoto,1,1,7
8,Sokon I,Sokon I,1,1,8
9,Sinoni,Sinoni,1,1,9
10,Terrat,Terrat,1,1,10
11,Muriet,Muriet,1,1,11
12,Sombetini,Sombetini,1,1,12
13,Osunyai Jr,Osunyai Jr,1,1,13
14,Elerai,Elerai,1,1,14
15,Sakina,Sakina,1,1,15
16,Olasiti,Olasiti,1,1,16
17,Olmoti,Olmoti,1,1,17
18,Kati,Kati,1,1,18
19,Daraja II,Daraja II,1,1,19
20,Themi,Themi,1,1,20
21,Ngarenaro,Ngarenaro,1,1,21
22,Levolosi,Levolosi,1,1,22
23,Kaloleni,Kaloleni,1,1,23
24,Unga Ltd,Unga Ltd,1,1,24
25,Sekei,Sekei,1,1,25
26,Mwandet,Mwandet,1,2,26
27,Lengijave,Lengijave,1,2,27
28,Lemanyata,Lemanyata,1,2,28
29,Oldonyosambu,Oldonyosambu,1,2,29
30,Oldonyowas,Oldonyowas,1,2,30
31,Kisongo,Kisongo,1,2,31
32,Mateves,Mateves,1,2,32
33,Musa,Musa,1,2,33
34,Bangata,Bangata,1,2,34
35,Sokon II,Sokon II,1,2,35
36,Kiutu,Kiutu,1,2,36
37,Mlangarini,Mlangarini,1,2,37
38,Nduruma,Nduruma,1,2,38
39,Bwawani,Bwawani,1,2,39
40,Oljoro,Oljoro,1,2,40
41,Kimnyak,Kimnyak,1,2,41
42,Sambasha,Sambasha,1,2,42
43,Ilkiding'a,Ilkiding'a,1,2,43
44,Olturoto,Olturoto,1,2,44
45,Laroi,Laroi,1,2,45
46,Oloirien,Oloirien,1,2,46
47,Kiranyi,Kiranyi,1,2,47
48,Olturumet,Olturumet,1,2,48
49,Olmotonyi,Olmotonyi,1,2,49
50,Moivo,Moivo,1,2,50
51,Tarakwa,Tarakwa,1,2,51
52,Ilboru,Ilboru,1,2,52
53,Rhotia,Rhotia,1,3,53
54,Mbulumbulu,Mbulumbulu,1,3,54
55,Baray,Baray,1,3,55
56,Mang’ola,Mang’ola,1,3,56
57,Endamaghang,Endamaghang,1,3,57
58,Endabash,Endabash,1,3,58
59,Kansay,Kansay,1,3,59
60,Buger,Buger,1,3,60
61,Endamarariek,Endamarariek,1,3,61
62,Qurus,Qurus,1,3,62
63,Daa,Daa,1,3,63
64,Oldeani,Oldeani,1,3,64
65,Karatu,Karatu,1,3,65
66,Ganako,Ganako,1,3,66
67,Elang’atadapash,Elang’atadapash,1,4,67
68,Noondoto,Noondoto,1,4,68
69,Ketumbeine,Ketumbeine,1,4,69
70,Ilorienito,Ilorienito,1,4,70
71,Gelai Meirugoi,Gelai Meirugoi,1,4,71
