list,internalName,displayName,type,required,indexed,unique,decimals,source,description
TACATDP_Submissions,SubmissionKey,Submission Key,Text,True,True,True,,,
TACATDP_Submissions,FormId,Form ID,Text,False,True,False,,,
TACATDP_Submissions,FormVersion,Form Version,Text,False,True,False,,,
TACATDP_Submissions,SubmissionStatus,Submission Status,Text,False,True,False,,,
TACATDP_Submissions,EnumeratorEmail,Enumerator Email,Text,False,True,False,,,
TACATDP_Submissions,EnumeratorName,Enumerator Name,Text,False,False,False,,,
TACATDP_Submissions,StartedAt,Started At,DateTime,False,False,False,,,
TACATDP_Submissions,SubmittedAt,Submitted At,DateTime,False,False,False,,,
TACATDP_Submissions,LastSavedAt,Last Saved At,DateTime,False,False,False,,,
TACATDP_Submissions,Customer_ID,Customer ID,Number,False,True,False,0,,
TACATDP_Submissions,Customer_Name,Customer Name,Text,False,False,False,,,
TACATDP_Submissions,RegionValue,Region Value,Text,False,True,False,,,
TACATDP_Submissions,DistrictValue,District Value,Text,False,True,False,,,
TACATDP_Submissions,WardValue,Ward Value,Text,False,True,False,,,
TACATDP_Submissions,VillageValue,Village Value,Text,False,True,False,,,
TACATDP_MultiSelectAnswers,SubmissionKey,Submission Key,Text,True,True,False,,,
TACATDP_MultiSelectAnswers,SectionKey,Section Key,Text,False,True,False,,,
TACATDP_MultiSelectAnswers,QuestionName,Question Name,Text,True,True,False,,,
TACATDP_MultiSelectAnswers,ChoiceListName,Choice List Name,Text,True,True,False,,,
TACATDP_MultiSelectAnswers,ChoiceValue,Choice Value,Text,True,True,False,,,
TACATDP_MultiSelectAnswers,ChoiceLabelEn,Choice Label English,Text,False,False,False,,,
TACATDP_MultiSelectAnswers,ChoiceLabelSw,Choice Label Swahili,Text,False,False,False,,,
TACATDP_MultiSelectAnswers,SortOrder,Sort Order,Number,False,False,False,0,,
TACATDP_ProductionCostLines,SubmissionKey,Submission Key,Text,True,True,False,,,
TACATDP_ProductionCostLines,StageCode,Stage Code,Text,True,True,False,,,
TACATDP_ProductionCostLines,StageLabel,Stage Label,Text,False,False,False,,,
TACATDP_ProductionCostLines,CostItemValue,Cost Item Value,Text,False,True,False,,,
TACATDP_ProductionCostLines,CostItemLabel,Cost Item Label,Text,False,False,False,,,
TACATDP_ProductionCostLines,UnitValue,Unit Value,Text,False,False,False,,,
TACATDP_ProductionCostLines,UnitLabel,Unit Label,Text,False,False,False,,,
TACATDP_ProductionCostLines,Quantity,Quantity,Number,False,False,False,2,,
TACATDP_ProductionCostLines,UnitCostTZS,Unit Cost TZS,Currency,False,False,False,2,,
TACATDP_ProductionCostLines,LineTotalTZS,Line Total TZS,Currency,False,False,False,2,,
TACATDP_RefRegions,ChoiceValue,Choice Value,Text,True,True,True,,,
TACATDP_RefRegions,LabelEn,Label English,Text,True,False,False,,,
TACATDP_RefRegions,LabelSw,Label Swahili,Text,False,False,False,,,
TACATDP_RefRegions,SortOrder,Sort Order,Number,False,False,False,0,,
TACATDP_RefDistricts,ChoiceValue,Choice Value,Text,True,True,False,,,
TACATDP_RefDistricts,LabelEn,Label English,Text,True,False,False,,,
TACATDP_RefDistricts,LabelSw,Label Swahili,Text,False,False,False,,,
TACATDP_RefDistricts,RegionValue,Region Value,Text,True,True,False,,,
TACATDP_RefDistricts,SortOrder,Sort Order,Number,False,False,False,0,,
TACATDP_RefWards,ChoiceValue,Choice Value,Text,True,True,False,,,
TACATDP_RefWards,LabelEn,Label English,Text,True,False,False,,,
TACATDP_RefWards,LabelSw,Label Swahili,Text,False,False,False,,,
TACATDP_RefWards,RegionValue,Region Value,Text,True,True,False,,,
TACATDP_RefWards,DistrictValue,District Value,Text,True,True,False,,,
TACATDP_RefWards,SortOrder,Sort Order,Number,False,False,False,0,,
TACATDP_RefVillages,ChoiceValue,Choice Value,Text,True,True,False,,,
TACATDP_RefVillages,LabelEn,Label English,Text,True,False,False,,,
TACATDP_RefVillages,LabelSw,Label Swahili,Text,False,False,False,,,
TACATDP_RefVillages,RegionValue,Region Value,Text,True,True,False,,,
TACATDP_RefVillages,DistrictValue,District Value,Text,True,True,False,,,
TACATDP_RefVillages,WardValue,Ward Value,Text,True,True,False,,,
TACATDP_RefVillages,SortOrder,Sort Order,Number,False,False,False,0,,
TACATDP_RefBranches,ChoiceValue,Choice Value,Text,True,True,False,,,
TACATDP_RefBranches,LabelEn,Label English,Text,True,False,False,,,
TACATDP_RefBranches,LabelSw,Label Swahili,Text,False,False,False,,,
TACATDP_RefBranches,ZoneValue,Zone Value,Text,True,True,False,,,
TACATDP_RefBranches,SortOrder,Sort Order,Number,False,False,False,0,,
TACATDP_RefChoices,ChoiceListName,Choice List Name,Text,True,True,False,,,
TACATDP_RefChoices,ChoiceValue,Choice Value,Text,True,True,False,,,
TACATDP_RefChoices,LabelEn,Label English,Text,True,False,False,,,
TACATDP_RefChoices,LabelSw,Label Swahili,Text,False,False,False,,,
