survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
9,Customer_ID,integer,integer,Customer ID,,TACATDP_Profile,Customer_ID,no,no,,,,scalar input field
10,Customer_Name,text,text,Customer Name,,TACATDP_Profile,Customer_Name,no,no,,,,scalar input field
11,Gender,select_one Gender,select_one,Gender,Gender,TACATDP_Profile,GenderValue;GenderLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
12,age,integer,integer,Farmer Age,,TACATDP_Profile,age,no,no,,,,scalar input field
15,Education_Level,select_one Education_Level,select_one,Education Level,Education_Level,TACATDP_Profile,Education_LevelValue;Education_LevelLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
16,zone,select_one Zone,select_one,Zone,Zone,TACATDP_Profile,zoneValue;zoneLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
17,CRDB_Branch,select_one branch,select_one,CRDB Branch,branch,TACATDP_Profile,CRDB_BranchValue;CRDB_BranchLabel,yes,no,,,zone=${zone},select_one stored as text value/label from reference data for delegation and export fidelity
18,region,select_one region,select_one,Region,region,TACATDP_Profile,regionValue;regionLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
19,district,select_one district,select_one,District,district,TACATDP_Profile,districtValue;districtLabel,yes,no,,,region=${region},select_one stored as text value/label from reference data for delegation and export fidelity
20,ward,select_one ward,select_one,Ward,ward,TACATDP_Profile,wardValue;wardLabel,yes,no,,,region=${region} and district=${district},select_one stored as text value/label from reference data for delegation and export fidelity
21,village,select_one village,select_one,Village,village,TACATDP_Profile,villageValue;villageLabel,yes,no,,,region=${region} and district=${district} and ward=${ward},select_one stored as text value/label from reference data for delegation and export fidelity
22,Georeference,geopoint,geopoint,"***Enumerator: Measure this outside of the house, in front of the main door to the house. You can adjust the location by manually moving the pin on the map.",,TACATDP_Profile,GeoreferenceRaw;GeoreferenceLatitude;GeoreferenceLongitude;GeoreferenceAccuracy,no,no,,,,Geopoint split into raw/latitude/longitude/accuracy
23,Farmer_Phone,text,text,Farmer Phone,,TACATDP_Profile,Farmer_Phone,yes,no,,"(regex(.,'0\d{9}') and string-length(.)=10) or .=-444 or .=-888",,scalar input field
24,loan_amount_tzs,integer,integer,Loan Amount (TZS),,TACATDP_Profile,loan_amount_tzs,yes,no,,. >= 200000,,scalar input field
27,own_farmland,select_one Yes_No,select_one,Farmer/House Hold Own Farmland?,Yes_No,TACATDP_Profile,own_farmlandValue;own_farmlandLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
28,land_size_acres,integer,integer,Land Size (Acres),,TACATDP_Profile,land_size_acres,yes,no,,,,scalar input field
31,crop_name,select_multiple crop_name,select_multiple,Crop Name,crop_name,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
32,crop_category,select_multiple crop_category,select_multiple,Crop Category,crop_category,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
33,crop_adaptation,select_multiple crop_adaptation,select_multiple,Crop Adaptation and Resilience Rationale,crop_adaptation,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,"selected(${crop_name}, crop_name)",select_multiple child rows
34,technology,select_multiple technology,select_multiple,TACATDP ARA Technology Diployed,technology,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
35,climate_risk,select_multiple climate_risk,select_multiple,Available Key Climate Risks/hazards,climate_risk,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,"selected(${technology}, technology)",select_multiple child rows
